wait_length,service_length,arrival_time_diff
1.0,0.3175155078075539,0.31095702254888635
0.9999999999993309,0.31346244103015697,0.05611104424338753
0.9999907015724525,0.5948094171151019,0.685033603141574
0.8846781592241632,0.17266446774475752,0.06092549961411775
0.9999999999994114,0.5609858493964764,0.308714696896644
0.9999999999990847,0.4937178302013131,0.7135990453042946
0.9999999999999979,0.7782571493150899,0.5795496759981412
0.8022889325076203,0.6971682581850547,0.547951010297676
0.9709858195443988,0.8678803141685931,0.5704431691527596
0.9967981204178848,0.28539232178404705,0.8971564009530242
0.14801280832076125,0.7402570613872324,0.08425087117767005
0.07193018908876914,0.6285891470716645,0.26746657473841995
