wait_length,service_length,arrival_time_diff
0.999999931104509,0.5999622271398761,0.6339257240107657
0.9999911610587103,0.4498362387327989,0.06922683083585898
1.0,0.13657303912266705,0.5813670163799962
0.7227170814329028,0.13539499723155557,0.05953215545169228
0.86385377044898,0.6129531555105473,0.8818116933280131
0.2186413025157817,0.5075151002053628,0.8856545436656387
0.9999999938442642,0.6394609658279246,0.7911668468006476
0.9999768200866802,0.5791735978033775,0.29159522845017244
0.27381544092613425,0.6480222658014001,0.5786887734065072
0.050894993192459215,0.0659703870160146,0.6430474055865336
0.7119266012202786,0.7220383967178132,0.07423700115958844
0.22956988888512167,0.620859716418803,0.13284878833754027
